parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.4785425,2021-08-01T13:49:00Z,644,0,1235,5[Dom / Römer],2021-08-01T13:47:01.016Z
0.3569794,2021-08-01T13:49:00Z,1405,45,2185,2[Zeil],2021-08-01T13:47:01.016Z
0.31727573,2021-08-01T13:59:00Z,411,150,602,1[Anlagenring],2021-08-01T13:57:01.667Z
0.082417585,2021-08-01T13:59:00Z,334,0,364,4[Bahnhofsviertel],2021-08-01T13:57:01.667Z
0.48582995,2021-08-01T13:59:00Z,635,0,1235,5[Dom / Römer],2021-08-01T13:57:01.667Z
0.35652173,2021-08-01T13:59:00Z,1406,45,2185,2[Zeil],2021-08-01T13:57:01.667Z
0.31893688,2021-08-01T14:19:00Z,410,150,602,1[Anlagenring],2021-08-01T14:17:00.906Z
0.07417583,2021-08-01T14:19:00Z,337,0,364,4[Bahnhofsviertel],2021-08-01T14:17:00.906Z
0.47692308,2021-08-01T14:19:00Z,646,0,1235,5[Dom / Römer],2021-08-01T14:17:00.906Z
0.3583524,2021-08-01T14:19:00Z,1402,45,2185,2[Zeil],2021-08-01T14:17:00.906Z
0.29069766,2021-08-01T14:29:00Z,427,150,602,1[Anlagenring],2021-08-01T14:27:00.410Z
0.07692308,2021-08-01T14:29:00Z,336,0,364,4[Bahnhofsviertel],2021-08-01T14:27:00.410Z
0.48421052,2021-08-01T14:29:00Z,637,0,1235,5[Dom / Römer],2021-08-01T14:27:00.410Z
0.36018306,2021-08-01T14:29:00Z,1398,45,2185,2[Zeil],2021-08-01T14:27:00.410Z
0.28239202,2021-08-01T14:44:00Z,432,150,602,1[Anlagenring],2021-08-01T14:42:02.376Z
0.07967033,2021-08-01T14:44:00Z,335,0,364,4[Bahnhofsviertel],2021-08-01T14:42:02.376Z
0.4923077,2021-08-01T14:44:00Z,627,0,1235,5[Dom / Römer],2021-08-01T14:42:02.376Z
